order_item_id,order_id,item_id,quantity,unit_price,subtotal
1,1,7,1,300.0,300.0
2,1,16,1,1100.0,1100.0
3,1,17,1,150.0,150.0
4,2,49,1,750.0,750.0
5,2,52,1,800.0,800.0
6,2,53,1,400.0,400.0
7,3,19,1,1050.0,1050.0
8,4,26,1,650.0,650.0
9,4,34,1,1050.0,1050.0
10,4,35,1,200.0,200.0
11,5,38,1,500.0,500.0
12,5,54,1,600.0,600.0
13,6,29,1,350.0,350.0
14,7,32,1,450.0,450.0
15,8,33,1,600.0,600.0
16,9,29,1,350.0,350.0
17,9,36,1,1100.0,1100.0
18,10,1,1,1200.0,1200.0
19,11,20,1,400.0,400.0
20,12,4,1,1100.0,1100.0
21,13,38,1,500.0,500.0
22,14,32,1,450.0,450.0
23,15,12,1,550.0,550.0
24,16,5,1,950.0,950.0
25,17,26,1,650.0,650.0
26,17,34,1,1050.0,1050.0
27,17,35,1,200.0,200.0
28,17,36,1,1100.0,1100.0
29,18,10,1,1600.0,1600.0
30,18,16,1,1100.0,1100.0
31,18,17,1,150.0,150.0
32,19,37,1,1300.0,1300.0
33,19,54,1,600.0,600.0
34,20,21,1,900.0,900.0
35,20,36,1,1100.0,1100.0
36,21,46,1,1800.0,1800.0
37,22,39,1,850.0,850.0
38,22,54,1,600.0,600.0
39,23,8,1,600.0,600.0
40,24,11,1,400.0,400.0
41,25,50,1,500.0,500.0
42,25,52,1,800.0,800.0
43,25,53,1,400.0,400.0
44,26,40,1,1400.0,1400.0
45,27,5,1,950.0,950.0
46,28,47,1,450.0,450.0
47,29,11,1,400.0,400.0
48,30,49,1,750.0,750.0
49,30,52,1,800.0,800.0
50,30,53,1,400.0,400.0
51,31,38,1,500.0,500.0
52,32,15,1,600.0,600.0
53,33,24,1,1400.0,1400.0
54,33,34,1,1050.0,1050.0
55,33,35,1,200.0,200.0
56,34,25,1,350.0,350.0
57,34,34,1,1050.0,1050.0
58,34,35,1,200.0,200.0
59,35,10,1,1600.0,1600.0
60,35,16,1,1100.0,1100.0
61,35,17,1,150.0,150.0
62,35,18,1,1250.0,1250.0
63,36,15,1,600.0,600.0
64,37,28,1,1700.0,1700.0
65,37,34,1,1050.0,1050.0
66,37,35,1,200.0,200.0
67,37,36,1,1100.0,1100.0
68,38,27,1,1350.0,1350.0
69,38,34,1,1050.0,1050.0
70,38,35,1,200.0,200.0
71,39,12,1,550.0,550.0
72,40,13,1,900.0,900.0
73,41,10,1,1600.0,1600.0
74,41,16,1,1100.0,1100.0
75,41,17,1,150.0,150.0
76,42,33,1,600.0,600.0
77,43,51,1,650.0,650.0
78,43,52,1,800.0,800.0
79,43,53,1,400.0,400.0
80,43,54,1,600.0,600.0
81,44,20,1,400.0,400.0
82,45,13,1,900.0,900.0
83,46,50,1,500.0,500.0
84,46,52,1,800.0,800.0
85,46,53,1,400.0,400.0
86,46,54,1,600.0,600.0
87,47,32,1,450.0,450.0
88,47,36,1,1100.0,1100.0
89,48,24,1,1400.0,1400.0
90,48,36,1,1100.0,1100.0
91,49,20,1,400.0,400.0
92,49,36,1,1100.0,1100.0
93,50,14,1,450.0,450.0
94,51,28,1,1700.0,1700.0
95,51,34,1,1050.0,1050.0
96,51,35,1,200.0,200.0
97,52,14,1,450.0,450.0
98,53,1,1,1200.0,1200.0
99,54,48,1,600.0,600.0
100,54,52,1,800.0,800.0
101,54,53,1,400.0,400.0
102,55,48,1,600.0,600.0
103,55,52,1,800.0,800.0
104,55,53,1,400.0,400.0
105,56,32,1,450.0,450.0
106,56,36,1,1100.0,1100.0
107,57,15,1,600.0,600.0
108,58,3,1,850.0,850.0
109,59,20,1,400.0,400.0
110,60,23,1,950.0,950.0
111,60,36,1,1100.0,1100.0
112,61,9,1,1300.0,1300.0
113,61,16,1,1100.0,1100.0
114,61,17,1,150.0,150.0
115,62,39,1,850.0,850.0
116,62,54,1,600.0,600.0
117,63,39,1,850.0,850.0
118,64,7,1,300.0,300.0
119,65,48,1,600.0,600.0
120,65,52,1,800.0,800.0
121,65,53,1,400.0,400.0
122,65,54,1,600.0,600.0
123,66,50,1,500.0,500.0
124,66,52,1,800.0,800.0
125,66,53,1,400.0,400.0
126,67,51,1,650.0,650.0
127,67,52,1,800.0,800.0
128,67,53,1,400.0,400.0
129,68,41,1,1000.0,1000.0
130,69,41,1,1000.0,1000.0
131,70,13,1,900.0,900.0
132,71,11,1,400.0,400.0
133,72,38,1,500.0,500.0
134,73,46,1,1800.0,1800.0
135,73,54,1,600.0,600.0
136,74,12,1,550.0,550.0
137,74,18,1,1250.0,1250.0
138,75,45,1,1500.0,1500.0
139,76,25,1,350.0,350.0
140,76,34,1,1050.0,1050.0
141,76,35,1,200.0,200.0
142,76,36,1,1100.0,1100.0
143,77,32,1,450.0,450.0
144,78,7,1,300.0,300.0
145,78,16,1,1100.0,1100.0
146,78,17,1,150.0,150.0
147,79,48,1,600.0,600.0
148,79,52,1,800.0,800.0
149,79,53,1,400.0,400.0
150,80,8,1,600.0,600.0
151,81,48,1,600.0,600.0
152,81,52,1,800.0,800.0
153,81,53,1,400.0,400.0
154,81,54,1,600.0,600.0
155,82,22,1,1150.0,1150.0
156,83,10,1,1600.0,1600.0
157,83,16,1,1100.0,1100.0
158,83,17,1,150.0,150.0
159,84,4,1,1100.0,1100.0
160,85,45,1,1500.0,1500.0
161,85,54,1,600.0,600.0
162,86,3,1,850.0,850.0
163,87,14,1,450.0,450.0
164,88,38,1,500.0,500.0
165,89,37,1,1300.0,1300.0
166,89,54,1,600.0,600.0
167,90,37,1,1300.0,1300.0
168,90,54,1,600.0,600.0
169,91,32,1,450.0,450.0
170,92,45,1,1500.0,1500.0
