order_id,user_id,cafeteria_id,order_status,total_amount,placed_at,confirmed_at,completed_at,special_instructions
1,39,1,COMPLETED,1550.0,2025-02-18 12:00:00,,,
2,41,3,COMPLETED,1950.0,2025-02-24 12:00:00,,,
3,14,2,COMPLETED,1050.0,2025-02-26 12:00:00,,,
4,39,2,COMPLETED,1900.0,2025-02-20 12:00:00,,,
5,1,3,COMPLETED,1100.0,2025-02-06 12:00:00,,,
6,58,2,COMPLETED,350.0,2025-02-24 12:00:00,,,
7,51,2,COMPLETED,450.0,2025-02-02 12:00:00,,,
8,59,2,COMPLETED,600.0,2025-02-10 12:00:00,,,
9,52,2,COMPLETED,1450.0,2025-02-05 12:00:00,,,
10,18,1,COMPLETED,1200.0,2025-02-20 12:00:00,,,
11,17,2,COMPLETED,400.0,2025-02-16 12:00:00,,,
12,13,1,COMPLETED,1100.0,2025-01-29 12:00:00,,,
13,11,3,COMPLETED,500.0,2025-02-22 12:00:00,,,
14,60,2,COMPLETED,450.0,2025-02-10 12:00:00,,,
15,47,1,COMPLETED,550.0,2025-02-26 12:00:00,,,
16,17,1,COMPLETED,950.0,2025-01-29 12:00:00,,,
17,40,2,COMPLETED,3000.0,2025-01-30 12:00:00,,,
18,34,1,COMPLETED,2850.0,2025-02-09 12:00:00,,,
19,14,3,COMPLETED,1900.0,2025-02-11 12:00:00,,,
20,7,2,COMPLETED,2000.0,2025-02-03 12:00:00,,,
21,23,3,COMPLETED,1800.0,2025-02-11 12:00:00,,,
22,1,3,COMPLETED,1450.0,2025-02-06 12:00:00,,,
23,39,1,COMPLETED,600.0,2025-02-13 12:00:00,,,
24,53,1,COMPLETED,400.0,2025-02-11 12:00:00,,,
25,55,3,COMPLETED,1700.0,2025-02-18 12:00:00,,,
26,10,3,COMPLETED,1400.0,2025-02-10 12:00:00,,,
27,1,1,COMPLETED,950.0,2025-02-26 12:00:00,,,
28,53,3,COMPLETED,450.0,2025-02-17 12:00:00,,,
29,57,1,COMPLETED,400.0,2025-02-12 12:00:00,,,
30,46,3,COMPLETED,1950.0,2025-02-23 12:00:00,,,
31,16,3,COMPLETED,500.0,2025-02-14 12:00:00,,,
32,44,1,COMPLETED,600.0,2025-02-17 12:00:00,,,
33,39,2,COMPLETED,2650.0,2025-02-11 12:00:00,,,
34,21,2,COMPLETED,1600.0,2025-02-20 12:00:00,,,
35,38,1,COMPLETED,4100.0,2025-01-30 12:00:00,,,
36,41,1,COMPLETED,600.0,2025-02-23 12:00:00,,,
37,35,2,COMPLETED,4050.0,2025-02-03 12:00:00,,,
38,26,2,COMPLETED,2600.0,2025-02-12 12:00:00,,,
39,60,1,COMPLETED,550.0,2025-02-14 12:00:00,,,
40,52,1,COMPLETED,900.0,2025-02-21 12:00:00,,,
41,26,1,COMPLETED,2850.0,2025-02-19 12:00:00,,,
42,52,2,COMPLETED,600.0,2025-02-25 12:00:00,,,
43,51,3,COMPLETED,2450.0,2025-01-30 12:00:00,,,
44,13,2,COMPLETED,400.0,2025-02-25 12:00:00,,,
45,60,1,COMPLETED,900.0,2025-02-03 12:00:00,,,
46,58,3,COMPLETED,2300.0,2025-02-10 12:00:00,,,
47,59,2,COMPLETED,1550.0,2025-02-10 12:00:00,,,
48,36,2,COMPLETED,2500.0,2025-02-01 12:00:00,,,
49,12,2,COMPLETED,1500.0,2025-02-06 12:00:00,,,
50,54,1,COMPLETED,450.0,2025-02-09 12:00:00,,,
51,26,2,COMPLETED,2950.0,2025-02-11 12:00:00,,,
52,43,1,COMPLETED,450.0,2025-02-15 12:00:00,,,
53,18,1,COMPLETED,1200.0,2025-02-04 12:00:00,,,
54,60,3,COMPLETED,1800.0,2025-02-24 12:00:00,,,
55,56,3,COMPLETED,1800.0,2025-01-31 12:00:00,,,
56,43,2,COMPLETED,1550.0,2025-01-28 12:00:00,,,
57,50,1,COMPLETED,600.0,2025-02-07 12:00:00,,,
58,9,1,COMPLETED,850.0,2025-02-23 12:00:00,,,
59,17,2,COMPLETED,400.0,2025-02-05 12:00:00,,,
60,16,2,COMPLETED,2050.0,2025-01-30 12:00:00,,,
61,26,1,COMPLETED,2550.0,2025-02-26 12:00:00,,,
62,16,3,COMPLETED,1450.0,2025-02-10 12:00:00,,,
63,5,3,COMPLETED,850.0,2025-01-30 12:00:00,,,
64,35,1,COMPLETED,300.0,2025-02-23 12:00:00,,,
65,48,3,COMPLETED,2400.0,2025-01-31 12:00:00,,,
66,47,3,COMPLETED,1700.0,2025-02-14 12:00:00,,,
67,52,3,COMPLETED,1850.0,2025-02-02 12:00:00,,,
