order_item_id,order_id,item_id,quantity,unit_price,subtotal
1,1,10,1,160.0,160.0
2,1,16,1,110.0,110.0
3,1,17,1,15.0,15.0
4,2,51,1,65.0,65.0
5,3,45,1,150.0,150.0
6,4,5,1,95.0,95.0
7,5,12,1,55.0,55.0
8,6,45,1,150.0,150.0
9,6,52,1,80.0,80.0
10,6,53,1,40.0,40.0
11,7,2,1,45.0,45.0
12,8,1,1,120.0,120.0
13,9,9,1,130.0,130.0
14,9,16,1,110.0,110.0
15,9,17,1,15.0,15.0
16,10,38,1,50.0,50.0
17,11,28,1,170.0,170.0
18,12,27,1,135.0,135.0
19,12,34,1,105.0,105.0
20,12,35,1,20.0,20.0
21,13,10,1,160.0,160.0
22,13,16,1,110.0,110.0
23,13,17,1,15.0,15.0
24,14,10,1,160.0,160.0
25,14,16,1,110.0,110.0
26,14,17,1,15.0,15.0
27,15,3,1,85.0,85.0
28,16,11,1,40.0,40.0
29,17,14,1,45.0,45.0
30,18,1,1,120.0,120.0
31,19,8,1,60.0,60.0
32,19,16,1,110.0,110.0
33,19,17,1,15.0,15.0
34,20,10,1,160.0,160.0
35,20,16,1,110.0,110.0
36,20,17,1,15.0,15.0
37,21,38,1,50.0,50.0
38,22,15,1,60.0,60.0
39,23,26,1,65.0,65.0
40,23,34,1,105.0,105.0
41,23,35,1,20.0,20.0
42,24,40,1,140.0,140.0
43,25,22,1,115.0,115.0
44,26,27,1,135.0,135.0
45,26,34,1,105.0,105.0
46,26,35,1,20.0,20.0
47,27,9,1,130.0,130.0
48,27,16,1,110.0,110.0
49,27,17,1,15.0,15.0
50,28,41,1,100.0,100.0
51,29,44,1,70.0,70.0
52,29,52,1,80.0,80.0
53,29,53,1,40.0,40.0
54,30,7,1,30.0,30.0
55,31,24,1,140.0,140.0
56,32,15,1,60.0,60.0
57,33,10,1,160.0,160.0
58,33,16,1,110.0,110.0
59,33,17,1,15.0,15.0
60,34,26,1,65.0,65.0
61,34,34,1,105.0,105.0
62,34,35,1,20.0,20.0
63,35,38,1,50.0,50.0
64,36,22,1,115.0,115.0
65,37,32,1,45.0,45.0
66,38,49,1,75.0,75.0
67,39,38,1,50.0,50.0
68,40,6,1,150.0,150.0
69,40,16,1,110.0,110.0
70,40,17,1,15.0,15.0
71,41,27,1,135.0,135.0
72,41,34,1,105.0,105.0
73,41,35,1,20.0,20.0
74,42,14,1,45.0,45.0
75,43,3,1,85.0,85.0
76,44,40,1,140.0,140.0
77,45,4,1,110.0,110.0
78,46,28,1,170.0,170.0
79,46,34,1,105.0,105.0
80,46,35,1,20.0,20.0
81,47,33,1,60.0,60.0
82,48,15,1,60.0,60.0
83,49,3,1,85.0,85.0
84,50,44,1,70.0,70.0
85,50,52,1,80.0,80.0
86,50,53,1,40.0,40.0
87,51,24,1,140.0,140.0
88,51,34,1,105.0,105.0
89,51,35,1,20.0,20.0
90,52,10,1,160.0,160.0
91,52,16,1,110.0,110.0
92,52,17,1,15.0,15.0
93,53,41,1,100.0,100.0
94,54,29,1,35.0,35.0
95,55,47,1,45.0,45.0
96,56,20,1,40.0,40.0
97,57,20,1,40.0,40.0
98,58,24,1,140.0,140.0
99,58,34,1,105.0,105.0
100,58,35,1,20.0,20.0
101,59,48,1,60.0,60.0
102,60,25,1,35.0,35.0
103,60,34,1,105.0,105.0
104,60,35,1,20.0,20.0
105,61,9,1,130.0,130.0
106,62,20,1,40.0,40.0
107,63,25,1,35.0,35.0
108,63,34,1,105.0,105.0
109,63,35,1,20.0,20.0
110,64,51,1,65.0,65.0
111,65,15,1,60.0,60.0
112,66,27,1,135.0,135.0
113,66,34,1,105.0,105.0
114,66,35,1,20.0,20.0
115,67,31,1,95.0,95.0
116,68,25,1,35.0,35.0
117,69,1,1,120.0,120.0
118,70,33,1,60.0,60.0
119,71,15,1,60.0,60.0
120,72,7,1,30.0,30.0
121,72,16,1,110.0,110.0
122,72,17,1,15.0,15.0
123,73,27,1,135.0,135.0
124,73,34,1,105.0,105.0
125,73,35,1,20.0,20.0
126,74,32,1,45.0,45.0
127,75,22,1,115.0,115.0
128,76,25,1,35.0,35.0
129,76,34,1,105.0,105.0
130,76,35,1,20.0,20.0
131,77,21,1,90.0,90.0
132,78,14,1,45.0,45.0
133,79,39,1,85.0,85.0
134,80,19,1,105.0,105.0
135,81,47,1,45.0,45.0
136,82,28,1,170.0,170.0
137,82,34,1,105.0,105.0
138,82,35,1,20.0,20.0
139,83,31,1,95.0,95.0
140,84,2,1,45.0,45.0
